Over 18,White,Median Income,Graduation %,Unemployment...21,Bachelor,16 Rep Vote,16 Dem Vote,18 Inc,16 Funds Got,16 Funds Spent,won,total_votes
0.7807930848,0.4816436113,0.38941,0.781,0.1116498012,0.157,0.3173433464,0.6826566536,-1,-0.9958184225,-0.9914823423,1,137868
0.7830357539,0.8053791848,0.55692,0.888,0.1116498012,0.276,0.6121890897,0.3878109103,1,0.2931958792,0.3167398494,0,155780
0.7815144143,0.6671113628,0.6474,0.932,0.1116498012,0.328,0.4931969151,0.5068030849,0,0.01387435284,0.01447446475,1,203421
0.7423339442,0.6284094229,0.53889,0.86,0.1116498012,0.222,0.4784544282,0.5215455718,0,-0.02021002472,-0.01720633078,1,168457
0.7843267,0.7836908343,0.4799,0.896,0.07132617801,0.34,0.3485269834,0.6514730166,0,-1,-1,1,186953
0.7489894802,0.8372645719,0.416,0.817,0.07132617801,0.195,0.6273962063,0.3726037937,0,0.3086981255,0.145759004,0,122546
0.7630366447,0.6522140407,0.47956,0.866,0.07132617801,0.27,0.3758295469,0.6241704531,-1,-0.9694242211,-0.9509234259,1,186282
0.7990334682,0.87298720379999994,0.88242,0.916,0.08518857207,0.367,0.58,0.42,1,0.01376133922,0.006127231018,0,169294
0.7775381114,0.7471834959,0.90614,0.881,0.08518857207,0.322,0,1,1,0.1807780026,0.2456461166,0,154246
0.7824061122,0.7277444197,1.04805,0.931,0.08518857207,0.526,0.470115436,0.529884564,-1,-0.1047662621,-0.1067455078,1,208555
0.7880028595,0.6392872187,0.96078,0.893,0.08518857207,0.418,0.41,0.59,-1,-0.3566223983,-0.2668661535,1,199762
0.7779301363,0.174447596,0.62979,0.822,0.08518857207,0.261,0.1313131313,0.8686868687,-1,-0.9625903527,-0.977433932,1,229125
0.811121598,0.4334711216,0.60158,0.827,0.08518857207,0.341,0.2727272727,0.7272727273,-1,-1,-1,1,158862
0.7739696209,0.4826568676,0.49581,0.722,0.08518857207,0.328,0.09090909091,0.9090909091,-1,-1,-1,1,191073
0.7803125772,0.3079081877,0.47048,0.853,0.08518857207,0.326,0,1,-1,-1,-1,1,234933
0.7822226962,0.371951691,0.50825,0.875,0.08518857207,0.386,0,1,-1,-1,-1,1,230221
0.8052954212,0.6811578194,0.81814,0.883,0.08518857207,0.615,0.22,0.78,-1,-0.9679074149,-0.9359577959,1,206310
0.7771701421,0.685070524,0.6689,0.869,0.08518857207,0.356,0.6281753075,0.3718246925,1,0.9999920598,0.9999754824,0,137198
0.8818668895,0.7261966262,0.93559,0.945,0.08518857207,0.741,0.1683227083,0.8316772917,-1,-1,-1,1,265172
0.7936522172,0.2621973094,0.37263,0.743,0.08518857207,0.316,0.07318801556,0.9268119844,-1,-1,-1,1,231841
0.806680418,0.4311121647,0.52427,0.784,0.08518857207,0.267,0.17,0.83,0,-0.9559503206,-0.9962643263,1,152661
0.7284658507,0.1711197566,0.26096,0.647,0.08518857207,0.137,0.03567167393,0.9643283261,-1,-1,-1,1,169533
0.7863907174,0.454914942,0.66153,0.851,0.08518857207,0.396,0,1,-1,-1,-1,1,218471
0.7526982417,0.6946337947,0.91734,0.887,0.08518857207,0.459,0,1,-1,-1,-1,1,197353
0.7741845794,0.7709179662,0.79539,0.913,0.08518857207,0.365,0.44,0.56,-1,-0.9029909217,-0.641778313,1,187169
0.8131873462,0.8781939441,0.58698,0.901,0.08518857207,0.296,0.54,0.46,1,-0.06656447935,-0.07129319264,1,192100
0.8043393933,0.7924070862,0.62112,0.922,0.08518857207,0.382,0.3232323232,0.6767676768,-1,-1,-1,1,219705
0.794560906,0.9156502553,0.51976,0.892,0.08518857207,0.241,0.6842105263,0.3157894737,1,0.1519171164,0.1118901309,0,131992
0.7983306999,0.8961480671,0.50059,0.894,0.08518857207,0.244,0.5340909091,0.4659090909,1,-0.07121633507,-0.08636254401,0,155480
0.8005472732,0.9036460188,0.47916,0.9,0.08518857207,0.265,0.58,0.42,1,0.08992105301,0.08723491395,0,129014
0.7869143326,0.8399056914,0.5393,0.899,0.08518857207,0.309,0.6,0.4,1,0.07891636621,0.06116314436,0,147638
0.7930748658,0.7462327876,0.5306,0.905,0.08518857207,0.371,0.4381142506,0.5618857494,0,-1,-1,1,206396
0.7971396222,0.7069785213,0.4564,0.905,0.08518857207,0.322,0.2541934277,0.7458065723,-1,-1,-1,1,223276
0.7951998219,0.9342379769,0.61359,0.932,0.08518857207,0.304,0.6719609877,0.3280390123,0,1,1,0,149559
0.7892823783,0.4848264078,0.40587,0.839,0.09281597892,0.288,0.2967816777,0.7032183223,-1,-0.9999285675,-0.9991900897,1,188870
0.7437491475,0.7160656899,0.61538,0.902,0.09281597892,0.354,0.5670858009,0.4329141991,1,0.9958304927,0.9962892444,1,311887
0.7790754148,0.7164271148,0.46916,0.882,0.09281597892,0.243,0.6720121347,0.3279878653,1,1,1,0,132752
0.7826467345,0.6068117892,0.64252,0.92,0.09281597892,0.547,0.3178216589,0.6821783411,-1,-0.5205620807,-0.71586500769999994,1,332421
0.7880510459,0.7934256886,0.42087,0.858,0.09281597892,0.273,0.5840168546,0.4159831454,1,1,1,0,119846
0.7730988126,0.7138648825,0.45391,0.852,0.09281597892,0.247,0.5922910437,0.4077089563,1,0.677747724,0.5476737346,1,253531
0.7882729073,0.7488238911,0.44413,0.871,0.09281597892,0.267,0.60913818,0.39086182,1,0.9999999566,0.9998563493,0,179045
0.7598836709,0.6583097314,0.48643,0.891,0.09281597892,0.276,0.5877292637,0.4122707363,1,0.3871774626,0.4653327273,0,177781
0.7525113576,0.6596342732,0.5363,0.881,0.09281597892,0.342,0.5818227752,0.4181772248,0,0.9530604108,0.9650027765,0,179463
0.7879315106,0.811289962,0.43877,0.868,0.09281597892,0.241,0.6313903884,0.3686096116,1,0.7526836364,0.6736988097,0,128189
0.8090887302,0.9056505627,0.41913,0.868,0.09281597892,0.267,0.6408897716,0.3591102284,1,0.7899698953,0.7602564496,0,190609
0.7596037014,0.4614248907,0.53409,0.892,0.09281597892,0.412,0.329759519,0.670240481,-1,-0.9711002205,-0.9572676472,1,341457
0.7802667922,0.7017413009,0.46792,0.884,0.09281597892,0.288,0.5610337223,0.4389662777,1,0.5033577206,0.5772959311,0,124684
0.7560049187,0.7143460696,0.53393,0.91,0.07389056366,0.351,0.5921592069,0.4078407931,1,0.3021195158,0.1797762548,0,172022
0.7767927894,0.8649473394,0.52629,0.89,0.07389056366,0.312,0.6644687236,0.3355312764,1,1,1,0,146781
0.7600686186,0.5359417432,0.4296,0.879,0.07389056366,0.274,0.3142601192,0.6857398808,-1,-1,-1,1,227420
0.7764799755,0.9010783799,0.49974,0.906,0.07389056366,0.191,0.6798886187,0.3201113813,1,0.6389097053,0.4110153284,0,101897
0.7736078612,0.9143303505,0.5448,0.93,0.07389056366,0.269,0.7090011044,0.2909988956,1,1,1,0,120962
0.7934390859,0.95059994,0.44574,0.885,0.07389056366,0.16,0.7067595911,0.2932404089,1,1,1,0,85661
0.7691455424,0.9244568775,0.5083,0.884,0.07389056366,0.195,0.6886044904,0.3113955096,1,0.9999999998,0.9999999696,0,102271
0.7659673213,0.8818186174,0.53561,0.913,0.07389056366,0.248,0.7182721651,0.2817278349,1,1,1,0,110766
0.7792872356,0.7345427804,0.41179,0.866,0.07389056366,0.221,0.3131345324,0.6868654676,-1,-0.9920417156,-0.9721854138,1,190328
0.781394846,0.7629931694,0.48257,0.901,0.07389056366,0.303,0.6623294085,0.3376705915,1,1,1,0,151976
0.7879151708,0.3951086273,0.34673,0.873,0.07389056366,0.272,0.1974620564,0.8025379436,-1,-0.9962053176,-0.9915365406,1,242098
0.7620139675,0.8657295245,0.66774,0.929,0.07389056366,0.413,0.6904733116,0.3095266884,1,1,0.9999999236,0,182847
0.8020051456,0.8205333173,0.42373,0.909,0.07389056366,0.231,0.3226662164,0.6773337836,-1,-1,-1,1,173631
